from,to,prob,pagerank_from,spc_original,spc_weighted,forward_from_sources,backward_to_sinks
"('改进', '知识重构类')","('成功', '成果影响类')",0.3333333333333333,0.006890391157133423,2,0.004593594104755615,2,1
"('参加', '知识整合类')","('具有', '知识整合类')",1.0,0.002162585139731651,2,0.004325170279463302,2,1
"('担任', '知识规划类')","('安排', '知识规划类')",0.5,0.002665022863745049,3,0.0039975342956175735,1,3
"('采用', '知识重构类')","('获取', '成果发布类')",0.3333333333333333,0.005875362280388962,2,0.003916908186925975,2,1
"('学习', '知识整合类')","('参加', '知识整合类')",0.3333333333333333,0.004739692971404825,2,0.003159795314269883,2,1
"('生长', '资源获取类')","('测量', '知识重构类')",1.0,0.003103189476617436,1,0.003103189476617436,1,1
"('分成', '知识规划类')","('生长', '资源获取类')",1.0,0.002686490994641696,1,0.002686490994641696,1,1
"('添加', '知识重构类')","('测量', '知识重构类')",1.0,0.002676807606392806,1,0.002676807606392806,1,1
"('担任', '知识规划类')","('带领', '知识协作类')",0.5,0.002665022863745049,2,0.002665022863745049,1,2
"('假设', '知识重构类')","('研究', '知识重构类')",1.0,0.002507236222036013,1,0.002507236222036013,1,1
"('出现', '成果影响类')","('获取', '成果发布类')",1.0,0.002507236222036013,1,0.002507236222036013,1,1
"('评为', '成果影响类')","('成为', '成果影响类')",0.5,0.004929039368651654,1,0.002464519684325827,1,1
"('认为', '知识协作类')","('测量', '知识重构类')",1.0,0.002458547947683328,1,0.002458547947683328,1,1
