from,to,prob,pagerank_from,spc_original,spc_weighted,forward_from_sources,backward_to_sinks
"('发现', '知识重构类')","('研究', '知识重构类')",0.1176470588235294,0.01850792364471343,200,0.4354805563461983,200,1
"('排除', '知识重构类')","('获取', '知识重构类')",1.0,0.001453593113347932,296,0.4302635615509878,1,296
"('获取', '资源获取类')","('带领', '知识协作类')",0.3333333333333333,0.002966264450047725,424,0.41923204227341176,2,212
"('选择', '知识重构类')","('分离', '知识重构类')",0.3333333333333333,0.003720021680887872,304,0.3769621969966377,1,304
"('选择', '知识重构类')","('改造', '知识重构类')",0.3333333333333333,0.003720021680887872,304,0.3769621969966377,1,304
"('获取', '成果影响类')","('成为', '成果影响类')",0.5,0.008125997940467613,88,0.35754390938057495,88,1
"('察觉', '知识规划类')","('试验', '知识重构类')",0.5,0.00162051917911774,441,0.35732447899546166,1,441
"('负责', '知识规划类')","('建立', '知识规划类')",0.3333333333333333,0.001426523994016771,747,0.35520447451017595,1,747
"('担任', '知识规划类')","('制定', '知识规划类')",0.25,0.001749627729858448,797,0.3486133251742957,1,797
"('奠定', '成果影响类')","('研制', '成果发布类')",0.5,0.004662863497457951,144,0.3357261718169725,3,48
